Title,year,Genres,Actors,Director,Plot,OMDb_URL,Poster_URL
High Noon,1952.0,"Drama, Thriller, Western","Gary Cooper, Grace Kelly, Thomas Mitchell",Fred Zinnemann,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon tr...",https://www.imdb.com/title/tt0044706/,https://m.media-amazon.com/images/M/MV5BMmJiZjA3ODgtNWI1Zi00OTA1LTkyNTMtZTA1NGYwOTQyZTA3XkEyXkFqcGc@._V1_SX300.jpg
Umberto D,1952.0,Drama,"Carlo Battisti, Maria Pia Casilio, Lina Gennari",Vittorio De Sica,An elderly man and his dog struggle to survive on his government pension in Rome.,https://www.imdb.com/title/tt0045274/,https://m.media-amazon.com/images/M/MV5BZWRkY2VmOTEtMTk5My00OWZmLWFmYWMtODE3ZmYyZTBhNTE0XkEyXkFqcGc@._V1_SX300.jpg
To Live (Ikiru),1952.0,"Drama, War","You Ge, Gong Li, Ben Niu",Yimou Zhang,"After Fugui and Jiazhen lose their personal fortunes, they raise a family and survive difficult cultural changes during 1940s to 1970s China.",https://www.imdb.com/title/tt0110081/,https://m.media-amazon.com/images/M/MV5BMjZlNzNmMTktNzQzZC00YWI2LTkyMmYtMGYwZjhjNzA0MDU0XkEyXkFqcGc@._V1_SX300.jpg
The Bad and the Beautiful,1952.0,"Adventure, Drama, Western","Clint Eastwood, Eli Wallach, Lee Van Cleef",Sergio Leone,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,https://www.imdb.com/title/tt0060196/,https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_SX300.jpg
Summer with Monika (Sommaren med Monika),1953.0,"Drama, Romance","Harriet Andersson, Lars Ekborg, Dagmar Ebbesen",Ingmar Bergman,"A pair of teenagers meet one summer day, start a reckless affair and abandon their families to be with one another.",https://www.imdb.com/title/tt0046345/,https://m.media-amazon.com/images/M/MV5BOGJjODNhNzQtMWQzYi00NDFlLTllMDktYzA4MzM0OGFkNzJhXkEyXkFqcGc@._V1_SX300.jpg
The Golden Coach (Le Carrosse d'or),1953.0,"Comedy, Drama, History","Anna Magnani, Odoardo Spadaro, Nada Fiorelli",Jean Renoir,"Three men of varying social standing - a viceroy, a bullfighter, and a soldier - vie for the affections of an actress in 18th-century Peru.",https://www.imdb.com/title/tt0044487/,https://m.media-amazon.com/images/M/MV5BZjE5NmI5NjEtZDkwNS00MDliLWFkNDAtMWJkYWM1MTgzM2QyXkEyXkFqcGc@._V1_SX300.jpg
Gentlemen Prefer Blondes,1953.0,"Comedy, Musical, Romance","Jane Russell, Marilyn Monroe, Charles Coburn",Howard Hawks,"Showgirls Lorelei Lee and Dorothy Shaw travel to Paris, pursued by a private detective hired by the suspicious father of Lorelei's fiancé, as well as a rich, enamored old man and many other doting admirers.",https://www.imdb.com/title/tt0045810/,https://m.media-amazon.com/images/M/MV5BZjQ4MDJhZGMtNDliZS00ZTYwLWJmN2ItZWY3NDc2NTFjN2VmXkEyXkFqcGc@._V1_SX300.jpg
Roman Holiday,1953.0,"Comedy, Drama, Romance","Gregory Peck, Audrey Hepburn, Eddie Albert",William Wyler,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,https://www.imdb.com/title/tt0046250/,https://m.media-amazon.com/images/M/MV5BNTVjNWUwZTEtZmI3OS00ODhmLWFhNTEtY2I1OTdlMjg0YTEyXkEyXkFqcGc@._V1_SX300.jpg
Shane,1953.0,"Drama, Western","Alan Ladd, Jean Arthur, Van Heflin",George Stevens,An ex-gunfighter defends homesteaders in 1889 Wyoming.,https://www.imdb.com/title/tt0046303/,https://m.media-amazon.com/images/M/MV5BZjBmZDhjMTktZGRmMC00N2EzLTkwZjctZjc4Y2Y5ODk1YWRkXkEyXkFqcGc@._V1_SX300.jpg
Voyage in Italy (Viaggio in Italia),1953.0,,,,,,
From Here to Eternity,1953.0,"Drama, Romance, War","Burt Lancaster, Montgomery Clift, Deborah Kerr",Fred Zinnemann,"At a U.S. Army base in 1941 Hawaii, a pugilistic private is cruelly punished for refusing to join his unit's boxing team. Meanwhile, his commanding officer's wife and top NCO are indulging in a torrid love affair.",https://www.imdb.com/title/tt0045793/,https://m.media-amazon.com/images/M/MV5BYjNhMDFkMDUtODFkMy00MGE0LTliZGUtNjNlYWM2ZjhiOWQ2XkEyXkFqcGc@._V1_SX300.jpg
Tales of Ugetsu (Ugetsu Monogatari),1953.0,,,,,,
The Bigamist,1953.0,"Drama, Film-Noir","Joan Fontaine, Ida Lupino, Edmund Gwenn",Ida Lupino,A man secretly married to two women feels the pressure of his deceit.,https://www.imdb.com/title/tt0045557/,https://m.media-amazon.com/images/M/MV5BMTVjODAzZjctZDJhZS00ZjYxLWJkZDgtMjQ3MmRjZGRhNzk5XkEyXkFqcGc@._V1_SX300.jpg
Wages of Fear (Le Salaire de la Peur),1953.0,"Crime, Drama, Thriller","Kasra Tamjidi, Maryam Bakhtiar, Fariborz Arabnia",N/A,N/A,https://www.imdb.com/title/tt5214306/,https://m.media-amazon.com/images/M/MV5BYjExNDBmOWYtNzM0Ni00ODgwLTlkNjEtNjM5MTY5YWUxNzg3XkEyXkFqcGdeQXVyMzk4NjQ1NA@@._V1_SX300.jpg
Tokyo Story,1953.0,Drama,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura",Yasujirô Ozu,"An old couple visit their children and grandchildren in the city, but receive little attention.",https://www.imdb.com/title/tt0046438/,https://m.media-amazon.com/images/M/MV5BODdkNzcxZjItMDU2Yy00Y2JlLWFkYTQtNzIwM2Q4MWU5MTU2XkEyXkFqcGc@._V1_SX300.jpg
The Naked Spur,1953.0,"Drama, Thriller, Western","James Stewart, Janet Leigh, Robert Ryan",Anthony Mann,A bounty hunter trying to bring a murderer to justice is forced to accept the help of two less-than-trustworthy strangers.,https://www.imdb.com/title/tt0044953/,https://m.media-amazon.com/images/M/MV5BNjZlOGJhYzYtYmE3MS00YjYyLTk0NDUtZWIyNDliMDUyZmZhXkEyXkFqcGc@._V1_SX300.jpg
The Earrings of Madame De... (Madame De...),1953.0,"Drama, Romance","Charles Boyer, Danielle Darrieux, Vittorio De Sica",Max Ophüls,"When an aristocratic woman known only as ""Madame de . . ."" sells a pair of earrings given to her by her husband in order to pay some debts, she sets off a chain reaction of financial and carnal consequences that can end only in de...",https://www.imdb.com/title/tt0046022/,https://m.media-amazon.com/images/M/MV5BYmJhMTIzMGUtZWFlOS00YzFiLThkZmItMzcyOTcxZmYxZjdlXkEyXkFqcGc@._V1_SX300.jpg
Mr. Hulot's Holiday (Les Vacances de M. Hulot),1953.0,,,,,,
The Big Heat,1953.0,"Crime, Drama, Film-Noir","Glenn Ford, Gloria Grahame, Jocelyn Brando",Fritz Lang,Tough cop Dave Bannion takes on a politically powerful crime syndicate.,https://www.imdb.com/title/tt0045555/,https://m.media-amazon.com/images/M/MV5BMzhmNDQ1ZGUtMmNkMy00N2VjLThkODktZjdjNWYwNjBkNTQyXkEyXkFqcGc@._V1_SX300.jpg
Beat the Devil,1953.0,"Action, Adventure, Comedy","Humphrey Bogart, Jennifer Jones, Gina Lollobrigida",John Huston,"On their way to Africa are a group of rogues who hope to get rich there, and a seemingly innocent British couple. They meet and things happen...",https://www.imdb.com/title/tt0046414/,https://m.media-amazon.com/images/M/MV5BMjA2MDUyMzcxMl5BMl5BanBnXkFtZTgwOTQzNzYzMjE@._V1_SX300.jpg
Pickup on South Street,1953.0,"Crime, Drama, Film-Noir","Richard Widmark, Jean Peters, Thelma Ritter",Samuel Fuller,A pickpocket unwittingly lifts a message destined for enemy agents and becomes a target for a Communist spy ring.,https://www.imdb.com/title/tt0046187/,https://m.media-amazon.com/images/M/MV5BOTNlMjVlNTEtOGViNC00M2Q4LWJkOWUtYzBiMWYwYmQ4OGZjXkEyXkFqcGc@._V1_SX300.jpg
The Band Wagon,1953.0,"Comedy, Musical, Romance","Fred Astaire, Cyd Charisse, Oscar Levant",Vincente Minnelli,"An aging movie star uncertain of his future teams up with a top ballerina to headline a new Broadway musical, but the pretentiously artistic goals of its director threaten to change it beyond recognition.",https://www.imdb.com/title/tt0045537/,https://m.media-amazon.com/images/M/MV5BOTdjYTRlOGItNDZhZC00YTk2LWFhZWMtMzBjNjc5YjVhNWE0XkEyXkFqcGc@._V1_SX300.jpg
Animal Farm,1954.0,"Animation, Drama","Gordon Heath, Maurice Denham","Joy Batchelor, John Halas",A successful farmyard revolution by the resident animals vs. the farmer goes horribly wrong when the victors create a new tyranny among themselves.,https://www.imdb.com/title/tt0047834/,https://m.media-amazon.com/images/M/MV5BYjdlMTcxODktNDBhNS00MjRiLThkNTMtZGJjOTU0Zjc5NjUzXkEyXkFqcGc@._V1_SX300.jpg
Johnny Guitar,1954.0,"Drama, Western","Joan Crawford, Sterling Hayden, Mercedes McCambridge",Nicholas Ray,"After helping a wounded gang member, a strong-willed female saloon owner is wrongly suspected of murder and bank robbery by a lynch mob.",https://www.imdb.com/title/tt0047136/,https://m.media-amazon.com/images/M/MV5BMjUyMWFlYTAtZjBjMS00ZDRjLWFhYWYtMGY2Mjc5YzI4OTMyXkEyXkFqcGc@._V1_SX300.jpg
Carmen Jones,1954.0,"Drama, Musical, Romance","Harry Belafonte, Dorothy Dandridge, Pearl Bailey",Otto Preminger,"Contemporary version of the Bizet opera, with new lyrics and an African-American cast.",https://www.imdb.com/title/tt0046828/,https://m.media-amazon.com/images/M/MV5BYjI1MmY2ZDktMWY3ZS00ODljLTkwYzMtZDIwYmEyNGQ5YTQzXkEyXkFqcGc@._V1_SX300.jpg
The Barefoot Contessa,1954.0,"Crime, Drama, Mystery","Humphrey Bogart, Ava Gardner, Edmond O'Brien",Joseph L. Mankiewicz,"This is the life of a Hollywood movie star named Maria, as told by writer/director Harry Dawes, from being discovered in Madrid, Spain, until her funeral in Italy.",https://www.imdb.com/title/tt0046754/,https://m.media-amazon.com/images/M/MV5BMDUzN2JmMWMtM2Y5NS00NmE4LWJiODUtMWFmNjIwOGQ4MTBkXkEyXkFqcGc@._V1_SX300.jpg
Salt of the Earth,1954.0,"Documentary, Biography, History","Sebastião Salgado, Wim Wenders, Lélia Wanick Salgado","Juliano Ribeiro Salgado, Wim Wenders","The life and work of photographer Sebastião Salgado, who has spent forty years documenting societies in hidden corners of the world.",https://www.imdb.com/title/tt3674140/,https://m.media-amazon.com/images/M/MV5BNjkyNjI3ODc0Ml5BMl5BanBnXkFtZTgwMTU0MjM2NDE@._V1_SX300.jpg
Seven Brides for Seven Brothers,1954.0,"Musical, Romance, Western","Jane Powell, Howard Keel, Jeff Richards",Stanley Donen,"When a backwoodsman in 1850s Oregon brings a wife home to his farm, his six brothers decide that they want to get married too.",https://www.imdb.com/title/tt0047472/,https://m.media-amazon.com/images/M/MV5BYzJkODQ3OWEtYmQwZS00ZTgwLWFjYmItNmEyMmZiODA4YjgyXkEyXkFqcGc@._V1_SX300.jpg
The Wanton Countess (Senso),1954.0,,,,,,
Rear Window,1954.0,"Drama, Mystery, Thriller","James Stewart, Grace Kelly, Wendell Corey",Alfred Hitchcock,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,https://www.imdb.com/title/tt0047396/,https://m.media-amazon.com/images/M/MV5BODZhOWI1ODgtMzdiOS00YjNkLTgwOGUtYmIyZDg5ZmQwMzQ1XkEyXkFqcGc@._V1_SX300.jpg
A Star is Born,1954.0,"Drama, Music, Romance","Lady Gaga, Bradley Cooper, Sam Elliott",Bradley Cooper,A hard-drinking country music star falls in love with a singer whose career quickly takes off.,https://www.imdb.com/title/tt1517451/,https://m.media-amazon.com/images/M/MV5BNGUxZTc0NTAtNzQwMy00MmM2LTgzMGYtZWIyY2E1MGFjYmM5XkEyXkFqcGc@._V1_SX300.jpg
Silver Lode,1954.0,Western,"John Payne, Lizabeth Scott, Dan Duryea",Allan Dwan,"In the western town of Silver Lode, Dan Ballard is arrested for murder and theft by marshals, but he denies the charges and searches for the real culprit as the townsfolk gradually turn against him.",https://www.imdb.com/title/tt0047495/,https://m.media-amazon.com/images/M/MV5BZjk4OTllNjMtZmVlMi00MmY1LTlhZWEtMGRjMGI3ZGM2MzJjXkEyXkFqcGc@._V1_SX300.jpg
Les Diaboliques,1954.0,"Drama, Thriller",N/A,Hugues Sanchez,N/A,https://www.imdb.com/title/tt8060810/,https://m.media-amazon.com/images/M/MV5BYzI3ZmM1ZGQtMzJlOC00NzJlLTg5NmYtM2EwNWQ2NTBlMzEyXkEyXkFqcGdeQXVyODU4MTAxMDQ@._V1_SX300.jpg
On the Waterfront,1954.0,"Crime, Drama, Thriller","Marlon Brando, Karl Malden, Lee J. Cobb",Elia Kazan,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",https://www.imdb.com/title/tt0047296/,https://m.media-amazon.com/images/M/MV5BZDJlYTM1ZGYtZTM4YS00MzFhLThiZjktYzQ0ZjAzMGYwZTU3XkEyXkFqcGc@._V1_SX300.jpg
Seven Samurai (Shichinin no Samurai),1954.0,"Action, Drama","Toshirô Mifune, Takashi Shimura, Keiko Tsushima",Akira Kurosawa,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",https://www.imdb.com/title/tt0047478/,https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_SX300.jpg
Sansho the Baliff (Sanshô Dayû),1954.0,,,,,,
The Road (La Strada),1954.0,"Drama, Thriller","Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee",John Hillcoat,"In a dangerous post-apocalyptic world, an ailing father defends his son as they slowly travel to the sea.",https://www.imdb.com/title/tt0898367/,https://m.media-amazon.com/images/M/MV5BMTAwNzk4NTU3NDReQTJeQWpwZ15BbWU3MDg3OTEyODI@._V1_SX300.jpg
The Man From Laramie,1955.0,"Action, Adventure, Comedy","Henry Cavill, Armie Hammer, Alicia Vikander",Guy Ritchie,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",https://www.imdb.com/title/tt1638355/,https://m.media-amazon.com/images/M/MV5BMDFjN2NlOGItYjZiZi00OThhLTlhYWUtYjgyNWFjMWJlNGU4XkEyXkFqcGc@._V1_SX300.jpg
Oklahoma!,1955.0,"Drama, Musical, Romance","Gordon MacRae, Gloria Grahame, Gene Nelson",Fred Zinnemann,"In Oklahoma, several farmers, cowboys and a traveling salesman compete for the romantic favors of various local ladies.",https://www.imdb.com/title/tt0048445/,https://m.media-amazon.com/images/M/MV5BNjQ2NmE1YmItNjM0MS00OTA1LWE5NWItNWUwZThmOGMxMzA2XkEyXkFqcGc@._V1_SX300.jpg
The Ladykillers,1955.0,"Comedy, Crime, Thriller","Tom Hanks, Marlon Wayans, Irma P. Hall","Ethan Coen, Joel Coen","An eccentric, if not charming Southern professor and his crew pose as a classical ensemble in order to rob a casino, all under the nose of his unsuspecting but sharp old landlady.",https://www.imdb.com/title/tt0335245/,https://m.media-amazon.com/images/M/MV5BMTYwNjUxMTYzM15BMl5BanBnXkFtZTYwNjgwMjY3._V1_SX300.jpg
All That Heaven Allows,1955.0,"Drama, Romance","Jane Wyman, Rock Hudson, Agnes Moorehead",Douglas Sirk,"An upper-class widow falls in love with a much younger, down-to-earth nurseryman, much to the disapproval of her children and criticism of her country club peers.",https://www.imdb.com/title/tt0047811/,https://m.media-amazon.com/images/M/MV5BMzVjMWE5OTQtZDk5ZC00MTQ5LWJmMzAtY2UxYjE1MjE2ZjM3XkEyXkFqcGc@._V1_SX300.jpg
Guys and Dolls,1955.0,"Comedy, Crime, Musical","Marlon Brando, Jean Simmons, Frank Sinatra",Joseph L. Mankiewicz,"In New York, a gambler is challenged to take a cold female missionary to Havana, but they fall for each other, and the bet has a hidden motive to finance a crap game.",https://www.imdb.com/title/tt0048140/,https://m.media-amazon.com/images/M/MV5BZTkzNWE2Y2ItMmIxZC00MTA3LWJmOTItMjQ2OTMzZWYwMWI0XkEyXkFqcGc@._V1_SX300.jpg
Kiss Me Deadly,1955.0,"Crime, Drama, Film-Noir","Ralph Meeker, Albert Dekker, Paul Stewart",Robert Aldrich,"A doomed female hitchhiker pulls Mike Hammer into a deadly whirlpool of intrigue, revolving around a mysterious ""great whatsit"".",https://www.imdb.com/title/tt0048261/,https://m.media-amazon.com/images/M/MV5BODAyMTQxMjg5Nl5BMl5BanBnXkFtZTcwNzUzNzA2NA@@._V1_SX300.jpg
The Man with the Golden Arm,1955.0,"Action, Adventure, Thriller","Roger Moore, Christopher Lee, Britt Ekland",Guy Hamilton,"James Bond is targeted by the world's most expensive assassin, while he attempts to recover sensitive solar cell technology that is being sold to the highest bidder.",https://www.imdb.com/title/tt0071807/,https://m.media-amazon.com/images/M/MV5BNzEzMzFiZDgtMWQ4YS00YmU1LWI5OTUtZjcwZmYyY2FlMTFhXkEyXkFqcGc@._V1_SX300.jpg
The Phenix City Story,1955.0,"Crime, Drama, Film-Noir","John McIntire, Richard Kiley, Kathryn Grant",Phil Karlson,A crime-busting lawyer and his initially reluctant attorney father take on the forces that run gambling and prostitution in their small Southern town.,https://www.imdb.com/title/tt0048488/,https://m.media-amazon.com/images/M/MV5BZTI1NWRkMmUtZjRlYi00MzE3LTgxMmUtNjdmNjU3NzEwMWJlXkEyXkFqcGc@._V1_SX300.jpg
Night and Fog (Nuit et Brouillard),1955.0,"Documentary, Short, History","Michel Bouquet, Reinhard Heydrich, Heinrich Himmler",Alain Resnais,The history of Nazi Germany's death camps of the Final Solution and the hellish world of dehumanization and death contained inside.,https://www.imdb.com/title/tt0048434/,https://m.media-amazon.com/images/M/MV5BYmEzZDE2YmQtZDg2ZS00ZWU3LWI4ZGEtNjIzMDEzYjM1MTk0XkEyXkFqcGc@._V1_SX300.jpg
Bad Day at Black Rock,1955.0,"Crime, Drama, Mystery","Spencer Tracy, Robert Ryan, Anne Francis",John Sturges,"Following World War II, a one-armed stranger arrives in a tiny California desert town, but finds the residents hostile and protecting a terrible secret they want to keep hidden, by violent means if necessary.",https://www.imdb.com/title/tt0047849/,https://m.media-amazon.com/images/M/MV5BYjAwMDRkNmYtZTMwNy00Y2NiLTgwNTYtZDljZDRlMjA5NTBlXkEyXkFqcGc@._V1_SX300.jpg
Hill 24 Doesn't Answer,1955.0,"Adventure, Drama, Romance","Edward Mulhare, Haya Harareet, Michael Shillo",Thorold Dickinson,"In 1948, four Israeli soldiers recount the events that led them to take up arms while preparing for a final mission in the hours leading up to a truce.",https://www.imdb.com/title/tt0048121/,https://m.media-amazon.com/images/M/MV5BZDA4NWNlYjQtYjFjMy00YWE4LTk4MDItNDMyYTY2Yjk3M2VlXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg
The Night of the Hunter,1955.0,"Crime, Drama, Mystery","Riz Ahmed, John Turturro, Bill Camp",N/A,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.",https://www.imdb.com/title/tt2401256/,https://m.media-amazon.com/images/M/MV5BMjQyOTgxMDI0Nl5BMl5BanBnXkFtZTgwOTE4MzczOTE@._V1_SX300.jpg
Pather Panchali,1955.0,Drama,"Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee",Satyajit Ray,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",https://www.imdb.com/title/tt0048473/,https://m.media-amazon.com/images/M/MV5BNmZhNzc0ZDMtZDg2My00MjkxLWJjZTctNTljODc2ZjQzMzJkXkEyXkFqcGc@._V1_SX300.jpg
The Sins of Lola Montes (Lola Montès),1955.0,"Drama, Romance","Angie Dickinson, Peter Finch, Roger Moore",Gordon Douglas,"While the Nazi regime subjugates European nations, in the Belgian Congo, nurse Rachel Cade tries to cure the local people. Colonel Derode falls in love with her, but an injured young American pilot upsets his plans.",https://www.imdb.com/title/tt0055453/,https://m.media-amazon.com/images/M/MV5BNmI1ODk3OTMtYTUyMS00NTVlLTgyZWMtZDZiNDZkZmZiZDQ4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
Ordet,1955.0,Drama,"Henrik Malberg, Emil Hass Christensen, Preben Lerdorff Rye",Carl Theodor Dreyer,"Follows the lives of the Borgen family, as they deal with inner conflict, as well as religious conflict with each other, and the rest of the town.",https://www.imdb.com/title/tt0048452/,https://m.media-amazon.com/images/M/MV5BZjg1ZmI4YTctOGY2MS00ZTdkLWFkMGEtZTM5ZWRjYjMxODdiXkEyXkFqcGc@._V1_SX300.jpg
Bob the Gambler (Bob le Flambeur),1955.0,,,,,,
Smiles of a Summer Night (Sommarnattens Leende),1955.0,"Comedy, Romance","Ulla Jacobsson, Eva Dahlbeck, Harriet Andersson",Ingmar Bergman,"In Sweden at the turn of the century, members of the upper class and their servants find themselves in a romantic tangle that they try to work out amidst jealousy and heartbreak.",https://www.imdb.com/title/tt0048641/,https://m.media-amazon.com/images/M/MV5BMGU0MmI5OTAtZGZjZi00ODhjLTkzNDctZjY5MjllODUxOWNlXkEyXkFqcGc@._V1_SX300.jpg
Artists and Models,1955.0,"Comedy, Musical, Romance","Dean Martin, Jerry Lewis, Shirley MacLaine",Frank Tashlin,Rick Todd uses the dreams of his roommate Eugene as the basis for a successful comic book.,https://www.imdb.com/title/tt0047840/,https://m.media-amazon.com/images/M/MV5BZWU0ZmE2MTgtMDYzZC00MzhhLTg5NmYtN2RiMjYyNmRiYzFjXkEyXkFqcGc@._V1_SX300.jpg
Marty,1955.0,"Drama, Romance","Ernest Borgnine, Betsy Blair, Esther Minciotti",Delbert Mann,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.,https://www.imdb.com/title/tt0048356/,https://m.media-amazon.com/images/M/MV5BNDk5OWZlNTAtMDU3OC00ZGM3LTgwNWYtMWM3ODEwZjM4ZDY3XkEyXkFqcGc@._V1_SX300.jpg
The Mad Masters (Les Maîtres Fous),1955.0,"Documentary, Short, Horror",Jean Rouch,Jean Rouch,A documentary short depicting a Hauka ceremony where young workers are possessed by British colonial officers.,https://www.imdb.com/title/tt0048363/,https://m.media-amazon.com/images/M/MV5BZWFiYzI3MDQtMzM5Zi00ZWYwLTg0MzQtYjYzOTU4YTIwOGNjXkEyXkFqcGc@._V1_SX300.jpg
Rebel Without a Cause,1955.0,Drama,"James Dean, Natalie Wood, Sal Mineo",Nicholas Ray,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",https://www.imdb.com/title/tt0048545/,https://m.media-amazon.com/images/M/MV5BY2QzZWUzODQtODUyZi00NDBlLTgzMGEtY2UzNmZhYzI0MTEyXkEyXkFqcGc@._V1_SX300.jpg
High Society,1956.0,"Comedy, Musical, Romance","Bing Crosby, Grace Kelly, Frank Sinatra",Charles Walters,"With socialite Tracy Lord about to remarry, her ex-husband - with the help of a sympathetic reporter - has 48 hours to convince her that she really still loves him.",https://www.imdb.com/title/tt0049314/,https://m.media-amazon.com/images/M/MV5BZTk3YzM3M2QtYjc5Yy00ZWZkLWI0ZmItNDgwMDViNTYxZDVlXkEyXkFqcGc@._V1_SX300.jpg
The Man Who Knew Too Much,1956.0,"Crime, Drama","Billy Bob Thornton, Frances McDormand, Michael Badalucco",Joel Coen,"A laconic, chain-smoking barber blackmails his wife's boss and lover for money to invest in dry cleaning, but his plan goes terribly wrong.",https://www.imdb.com/title/tt0243133/,https://m.media-amazon.com/images/M/MV5BN2E4MTZkMjUtNWNjMy00N2VhLThmODUtNDAyMDg0ZTQ3MGUwXkEyXkFqcGc@._V1_SX300.jpg
The Burmese Harp (Biruma no Tategoto),1956.0,"Drama, Music, War","Rentarô Mikuni, Shôji Yasui, Tatsuya Mihashi",Kon Ichikawa,A conscience-driven Japanese soldier traumatized by the events of WWII adopts the lifestyle of a Buddhist monk.,https://www.imdb.com/title/tt0049012/,https://m.media-amazon.com/images/M/MV5BYzI0Mjg0Y2YtMzUyMi00MjY4LWJiNWMtYmQ3NTE1NGIxZDY5XkEyXkFqcGc@._V1_SX300.jpg
Forbidden Planet,1956.0,"Adventure, Sci-Fi","Walter Pidgeon, Anne Francis, Leslie Nielsen",Fred M. Wilcox,"A starship crew in the 23rd century goes to investigate the silence of a distant planet's colony, only to find just two survivors, a powerful robot, and the deadly secret of a lost civilization.",https://www.imdb.com/title/tt0049223/,https://m.media-amazon.com/images/M/MV5BMjY4NGVmMzctYjFmYS00MDk3LTlkNDktNDdjMjhlYmY1YmI3XkEyXkFqcGc@._V1_SX300.jpg
A Man Escaped (Un Condamné à Mort s'est Échappé ou le Vent Souffle où il Veut),1956.0,"Drama, Thriller, War","François Leterrier, Charles Le Clainche, Maurice Beerblock",Robert Bresson,A captured French Resistance fighter during World War II engineers a daunting escape from a German prison in France.,https://www.imdb.com/title/tt0049902/,https://m.media-amazon.com/images/M/MV5BYjBkODI2NzItODMzMC00Yjc2LWI2NDItZTA5YTE0MTE5NDc2XkEyXkFqcGc@._V1_SX300.jpg
Written on the Wind,1956.0,Drama,"Rock Hudson, Lauren Bacall, Robert Stack",Douglas Sirk,"Alcoholic playboy Kyle Hadley marries the woman secretly loved by his poor but hard-working best friend, who in turn is pursued by Kyle's sister.",https://www.imdb.com/title/tt0049966/,https://m.media-amazon.com/images/M/MV5BOTQzZmYwNjgtZGE2OS00YzcxLTkxOTQtNjZkZmY2Y2EwZThlXkEyXkFqcGc@._V1_SX300.jpg
Invasion of the Body Snatchers,1956.0,"Horror, Sci-Fi","Donald Sutherland, Brooke Adams, Jeff Goldblum",Philip Kaufman,"When strange seeds drift to earth from space, mysterious pods begin to grow and invade San Francisco, replicating the city's residents one body at a time.",https://www.imdb.com/title/tt0077745/,https://m.media-amazon.com/images/M/MV5BMzUzNDdjOTAtOThlNS00OTc0LWIyZjEtMzA3YTA4Mjk2Yjc5XkEyXkFqcGc@._V1_SX300.jpg
Bigger Than Life,1956.0,Drama,"James Mason, Barbara Rush, Walter Matthau",Nicholas Ray,"A seriously-ill schoolteacher becomes dependent on a ""miracle"" drug that begins to affect his sanity.",https://www.imdb.com/title/tt0049010/,https://m.media-amazon.com/images/M/MV5BYzkwNzFmNDgtN2UxOS00NmZmLWFkMzItN2JkOWRkY2YwZTg1XkEyXkFqcGc@._V1_SX300.jpg
Giant,1956.0,"Drama, Western","Elizabeth Taylor, Rock Hudson, James Dean",George Stevens,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,https://www.imdb.com/title/tt0049261/,https://m.media-amazon.com/images/M/MV5BYTRjYjQ4ZjktZWVkNS00YmRkLTkwMjYtOTA5ZDUxM2UzNDk1XkEyXkFqcGc@._V1_SX300.jpg
The Wrong Man,1956.0,"Drama, Film-Noir","Henry Fonda, Vera Miles, Anthony Quayle",Alfred Hitchcock,"In 1953, an innocent man named Christopher Emanuel ""Manny"" Balestrero is arrested after being mistaken for an armed robber.",https://www.imdb.com/title/tt0051207/,https://m.media-amazon.com/images/M/MV5BZGZhZjlkN2MtYmE2Ni00YmRkLTkwNjMtNTFjMzFkZWNlYzg2XkEyXkFqcGc@._V1_SX300.jpg
